feature,importance
age,423
window_48h_vital_Temperature_Fahrenhe_slope,208
window_6h_vital_Heart_Rate_max,204
window_24h_vital_Heart_Rate_slope,161
window_3h_vital_Heart_Rate_min,158
window_48h_vital_Non_Invasive_Blood_P_mean,156
window_3h_vital_Heart_Rate_slope,145
window_12h_vital_Temperature_Fahrenhe_mean,140
window_48h_vital_Temperature_Fahrenhe_min,140
window_6h_vital_Heart_Rate_slope,131
window_24h_vital_Heart_Rate_min,126
window_24h_vital_Non_Invasive_Blood_P_min,124
window_24h_vital_Heart_Rate_count,89
window_3h_vital_Non_Invasive_Blood_P_slope,89
window_48h_vital_Non_Invasive_Blood_P_slope,87
window_6h_vital_Non_Invasive_Blood_P_std,84
window_6h_vital_Non_Invasive_Blood_P_std,81
window_12h_vital_Non_Invasive_Blood_P_mean,74
window_24h_vital_Non_Invasive_Blood_P_mean,72
window_12h_vital_Non_Invasive_Blood_P_max,71
window_24h_vital_Non_Invasive_Blood_P_max,71
window_48h_vital_Non_Invasive_Blood_P_mean,71
window_24h_vital_Non_Invasive_Blood_P_slope,67
window_12h_vital_Non_Invasive_Blood_P_mean,67
window_48h_vital_Non_Invasive_Blood_P_max,67
window_24h_vital_Non_Invasive_Blood_P_slope,67
window_48h_vital_Non_Invasive_Blood_P_count,66
window_3h_vital_Non_Invasive_Blood_P_max,64
window_48h_vital_Non_Invasive_Blood_P_max,62
window_12h_vital_Non_Invasive_Blood_P_std,61
window_3h_vital_Temperature_Fahrenhe_max,60
window_3h_vital_Non_Invasive_Blood_P_mean,58
window_6h_vital_Non_Invasive_Blood_P_max,57
window_3h_vital_Non_Invasive_Blood_P_slope,56
window_24h_vital_Non_Invasive_Blood_P_slope,56
window_24h_vital_Non_Invasive_Blood_P_min,55
window_12h_vital_Non_Invasive_Blood_P_mean,53
window_6h_vital_Non_Invasive_Blood_P_mean,52
window_3h_vital_Non_Invasive_Blood_P_std,49
window_24h_vital_Non_Invasive_Blood_P_min,48
window_12h_vital_Non_Invasive_Blood_P_min,45
window_24h_vital_Non_Invasive_Blood_P_std,44
window_48h_vital_Non_Invasive_Blood_P_count,43
window_12h_vital_Non_Invasive_Blood_P_std,42
window_6h_vital_Non_Invasive_Blood_P_max,38
window_3h_vital_Non_Invasive_Blood_P_mean,37
window_3h_vital_Non_Invasive_Blood_P_max,37
window_3h_vital_Non_Invasive_Blood_P_max,35
window_12h_vital_Non_Invasive_Blood_P_min,35
anchor_age,34
window_24h_vital_Non_Invasive_Blood_P_count,31
window_48h_vital_Non_Invasive_Blood_P_mean,27
window_12h_vital_Non_Invasive_Blood_P_max,21
window_12h_vital_Non_Invasive_Blood_P_count,19
window_48h_vital_Non_Invasive_Blood_P_max,17
window_6h_vital_Non_Invasive_Blood_P_count,17
window_24h_vital_Non_Invasive_Blood_P_count,15
window_24h_vital_Non_Invasive_Blood_P_slope,12
window_3h_vital_Non_Invasive_Blood_P_count,12
window_3h_vital_Non_Invasive_Blood_P_mean,12
window_12h_vital_Non_Invasive_Blood_P_min,11
window_24h_vital_Non_Invasive_Blood_P_slope,11
window_24h_vital_Non_Invasive_Blood_P_max,10
window_6h_vital_Non_Invasive_Blood_P_count,10
window_3h_vital_Non_Invasive_Blood_P_max,9
window_12h_vital_Non_Invasive_Blood_P_max,9
window_24h_vital_Non_Invasive_Blood_P_count,8
window_6h_vital_Non_Invasive_Blood_P_count,7
window_6h_vital_Non_Invasive_Blood_P_std,6
window_3h_vital_Non_Invasive_Blood_P_mean,5
window_12h_vital_Non_Invasive_Blood_P_min,3
window_24h_vital_Non_Invasive_Blood_P_max,3
